,SID,test_type/trial,target_value,user_input,time,start_time
451,102,Night Training/8,21234,4,1690860685860,1690860656475
452,102,Night Training/9,21234,2,1690860718008,1690860716023
453,102,Night Training/9,21234,1,1690860718308,1690860716023
454,102,Night Training/9,21234,2,1690860718610,1690860716023
455,102,Night Training/9,21234,3,1690860718916,1690860716023
456,102,Night Training/9,21234,4,1690860719166,1690860716023
457,102,Night Training/9,21234,2,1690860719608,1690860716023
458,102,Night Training/9,21234,1,1690860719874,1690860716023
459,102,Night Training/9,21234,2,1690860720149,1690860716023
460,102,Night Training/9,21234,3,1690860720441,1690860716023
461,102,Night Training/9,21234,2,1690860721174,1690860716023
462,102,Night Training/9,21234,2,1690860721691,1690860716023
463,102,Night Training/9,21234,3,1690860721992,1690860716023
464,102,Night Training/9,21234,4,1690860722282,1690860716023
465,102,Night Training/9,21234,2,1690860722782,1690860716023
466,102,Night Training/9,21234,1,1690860723067,1690860716023
467,102,Night Training/9,21234,2,1690860723299,1690860716023
468,102,Night Training/9,21234,3,1690860723607,1690860716023
469,102,Night Training/9,21234,2,1690860724508,1690860716023
470,102,Night Training/9,21234,1,1690860724858,1690860716023
471,102,Night Training/9,21234,2,1690860725100,1690860716023
472,102,Night Training/9,21234,3,1690860725733,1690860716023
473,102,Night Training/9,21234,4,1690860726009,1690860716023
474,102,Night Training/9,21234,2,1690860726582,1690860716023
475,102,Night Training/9,21234,1,1690860726867,1690860716023
476,102,Night Training/9,21234,2,1690860727117,1690860716023
477,102,Night Training/9,21234,3,1690860727525,1690860716023
478,102,Night Training/9,21234,4,1690860727941,1690860716023
479,102,Night Training/9,21234,2,1690860728416,1690860716023
480,102,Night Training/9,21234,1,1690860728692,1690860716023
481,102,Night Training/9,21234,2,1690860728925,1690860716023
482,102,Night Training/9,21234,3,1690860729326,1690860716023
483,102,Night Training/9,21234,4,1690860729685,1690860716023
484,102,Night Training/9,21234,2,1690860730124,1690860716023
485,102,Night Training/9,21234,2,1690860731933,1690860716023
486,102,Night Training/9,21234,1,1690860732175,1690860716023
487,102,Night Training/9,21234,2,1690860732425,1690860716023
488,102,Night Training/9,21234,3,1690860732849,1690860716023
489,102,Night Training/9,21234,4,1690860733157,1690860716023
490,102,Night Training/9,21234,2,1690860733674,1690860716023
491,102,Night Training/9,21234,1,1690860733883,1690860716023
492,102,Night Training/9,21234,2,1690860734132,1690860716023
493,102,Night Training/9,21234,3,1690860734566,1690860716023
494,102,Night Training/9,21234,4,1690860734867,1690860716023
495,102,Night Training/9,21234,2,1690860735400,1690860716023
